"qseqid","sseqid","pident","qcovs","qseqlen","sseqlen","alignlen","PrimerGroup","Isolate","All_equal"
"OG0002941primerGroup0-PNUSAS000559","OG0002941primerGroup0-AR0409",100,100,174,174,174,"OG0002941primerGroup0","AR0409",TRUE
"OG0002941primerGroup0-PNUSAS000559","OG0002941primerGroup0-2015K0074",100,100,174,174,174,"OG0002941primerGroup0","2015K0074",TRUE
"OG0002941primerGroup0-PNUSAS000559","OG0002941primerGroup0-2013K1828",100,100,174,174,174,"OG0002941primerGroup0","2013K1828",TRUE
"OG0002941primerGroup0-PNUSAS000559","OG0002941primerGroup0-2013K1246",100,100,174,174,174,"OG0002941primerGroup0","2013K1246",TRUE
"OG0002941primerGroup0-PNUSAS000559","OG0002941primerGroup0-2013K0676",100,100,174,174,174,"OG0002941primerGroup0","2013K0676",TRUE
"OG0002941primerGroup0-PNUSAS000559","OG0002941primerGroup0-2013K0463",100,100,174,174,174,"OG0002941primerGroup0","2013K0463",TRUE
"OG0002941primerGroup0-PNUSAS000559","OG0002941primerGroup0-2011K0052",100,100,174,174,174,"OG0002941primerGroup0","2011K0052",TRUE
"OG0002941primerGroup0-PNUSAS000559","OG0002941primerGroup0-080810",100,100,174,174,174,"OG0002941primerGroup0","080810",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-AR0409",100,100,158,158,158,"OG0003549primerGroup1","AR0409",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-2016K0878",100,100,158,158,158,"OG0003549primerGroup1","2016K0878",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-2014K0527",100,100,158,158,158,"OG0003549primerGroup1","2014K0527",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-2013K1246",100,100,158,158,158,"OG0003549primerGroup1","2013K1246",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-2013K0676",100,100,158,158,158,"OG0003549primerGroup1","2013K0676",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-2013K0463",100,100,158,158,158,"OG0003549primerGroup1","2013K0463",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-2011K0222",100,100,158,158,158,"OG0003549primerGroup1","2011K0222",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-2011K0052",100,100,158,158,158,"OG0003549primerGroup1","2011K0052",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-2010K0968",100,100,158,158,158,"OG0003549primerGroup1","2010K0968",TRUE
"OG0003549primerGroup1-PNUSAS000559","OG0003549primerGroup1-080810",100,100,158,158,158,"OG0003549primerGroup1","080810",TRUE
